연번,시군,경로당명,소재지(주소),경로당 설치년도,관리자,회원수
1,천안시,대한노인회성환읍분회,충청남도 천안시 서북구 성환읍 성환8길 19,1984,김수윤,33
2,천안시,성환1리,충청남도 천안시 서북구 성환읍 성환14길 13-4,2003,김수윤,45
3,천안시,성환3리(노인건강쉼터),충청남도 천안시 서북구 성환읍 성환시장길 9,1980,김수윤,29
4,천안시,성환4리,충청남도 천안시 서북구 성환읍 성환16길 12,1995,김수윤,71
5,천안시,성환5리,충청남도 천안시 서북구 성환읍 성환11길 35-14,1988,김수윤,95
6,천안시,성환6리,충청남도 천안시 서북구 성환읍 성환3로 46,1987,김수윤,69
7,천안시,성환7리,충청남도 천안시 서북구 성환읍 성환4길 35,1982,김수윤,51
8,천안시,성환8리,충청남도 천안시 서북구 성환읍 성환21길 23,1982,김수윤,64
9,천안시,성환9리,충청남도 천안시 서북구 성환읍 성환중앙로 86-1,1996,김수윤,42
10,천안시,성환10리,충청남도 천안시 서북구 성환읍 성환18길 11-45,1988,김수윤,49
11,천안시,성환11리,충청남도 천안시 서북구 성환11길 57-3,1996,김수윤,52
12,천안시,성월1리,충청남도 천안시 서북구 성환읍 성월수향길 14,1996,김수윤,46
13,천안시,성월2리,충청남도 천안시 서북구 성환읍 성월2길 13,2016,김수윤,59
14,천안시,성월3리,충청남도 천안시 서북구 성환읍 성월1길 15-1,1997,김수윤,34
15,천안시,성월4리(현대한솔APT),충청남도 천안시 서북구 성환읍 성월2길 16,1996,김수윤,59
16,천안시,매주1리,충청남도 천안시 서북구 매주2길 80 (매주리 212-4),2003,김수윤,33
17,천안시,매주2리,충청남도 천안시 서북구 성환읍 성환1로 180-9,1996,김수윤,57
18,천안시,매주3리,충청남도 천안시 서북구 성환읍 연암율금로 389,2006,김수윤,56
19,천안시,매주4리,충청남도 천안시 서북구 성환읍 연암율금로 435-22,2013,김수윤,19
20,천안시,매주4리(골드맨션아파트),충청남도 천안시 서북구 성환읍 성환1로 204 골드맨편아파트 가-208,1993,김수윤,43
21,천안시,매주5리(삼풍APT),충청남도 천안시 서북구 성환읍 성환2로 56(관리사무소 옆),2004,김수윤,51
22,천안시,매주6리(충효관),충청남도 천안시 서북구 성환읍 상덕매주길 118,1998,김수윤,30
23,천안시,"매주7,8리(부영1차아파트)","충청남도 천안시 서북구 성환읍 천안대로 1843, 관리사무소 옆",2005,김수윤,31
