"관리기관별(1)",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"관리기관별(1)",원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명)
"관리기관별(1)",합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상,합계,입산자실화,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상
"총계",282,138,38,34,13,15,1,14,29,282,296.84,11168,4450914,2,2,277,110,66,39,12,11,3,11,25,277,1089.53,52544,29062872,3,2,1,197,87,18,13,8,7,3,7,54,197,71.91,2467,2541534,2,1,1,296,91,77,41,22,9,4,5,47,296,551.78,66765,25019788,36,3,33,492,198,98,68,26,9,2,9,82,492,136.92,6962,9284595,10,7,3,623,193,99,86,22,19,5,13,186,623,418.07,31591,20480226,7,4,3,391,107,79,80,14,18,1,13,79,391,377.65,6647,15720978,6,4,2,692,254,94,110,24,22,2,36,150,692,1479.65,224172,80149972,17,7,10,496,158,67,58,12,26,1,41,133,496,894.07,100710,48583214,30,4,26,653,179,69,89,22,20,2,59,213,653,3255.35,501836,268910990,16,8,8,620,217,49,65,75,9,1,54,150,620,2919.84,486459,158140680,7,3,4,349,133,22,27,34,16,3,20,94,349,765.89,5641,36124769,14,7,7,756,253,44,59,53,14,51,282,756,24797.16,2925560,1346275384,8,1,7,596,170,56,73,56,23,1,41,176,596,4992.12,464130,285428594,19,3,16
"서울특별시",3,2,1,-,-,-,-,-,-,3,0.04,-,940,-,-,2,1,-,-,-,-,-,-,1,2,1.06,10,11855,-,-,-,10,2,-,-,-,-,-,-,8,10,2.93,-,120036,-,-,-,3,-,1,-,-,-,-,-,2,3,0.05,5,5857,-,-,-,16,3,-,2,-,-,-,1,10,16,0.80,-,75592,-,-,-,19,1,1,-,-,-,2,-,15,19,1.58,130,480159,-,-,-,9,-,1,3,-,-,-,-,5,9,0.71,-,37341,-,-,-,15,4,-,2,-,-,2,-,7,15,2.72,4,324832,-,-,-,14,-,1,1,-,-,-,-,12,14,0.37,17,47838,4,2,2,5,-,1,-,-,-,-,1,3,5,1.11,39,114903,-,-,-,1,-,-,-,-,-,-,-,1,1,0.01,-,1977,-,-,-,1,-,-,-,-,-,-,-,1,1,0.02,-,5328,-,-,-,6,-,-,-,-,-,1,5,6,2.46,-,273040,-,-,-,2,-,-,-,1,-,-,-,1,2,6.02,-,339497,-,-,-
"부산광역시",21,16,1,1,2,-,-,-,1,21,2.56,-,32049,-,-,9,3,3,-,-,-,1,-,2,9,90.98,-,1315845,-,-,-,4,2,-,-,-,-,1,-,1,4,0.74,20,24891,-,-,-,14,5,2,-,3,1,1,-,2,14,0.86,90,57477,-,-,-,9,4,-,2,-,-,-,-,3,9,2.48,300,278253,-,-,-,11,7,1,-,1,-,-,-,2,11,1.32,42,141906,-,-,-,8,2,1,-,2,-,-,-,3,8,1.14,125,467062,-,-,-,13,7,-,3,-,-,-,1,2,13,0.56,55,51661,-,-,-,15,5,-,1,1,-,-,-,8,15,65.93,8988,4123943,-,-,-,21,6,-,2,1,-,-,1,11,21,72.84,28,4621573,-,-,-,15,5,1,1,6,-,-,-,2,15,0.61,-,48725,-,-,-,6,2,-,-,1,-,-,-,3,6,0.66,-,34838,-,-,-,20,4,1,1,1,-,1,12,20,9.66,60,473246,-,-,-,17,5,-,2,4,1,-,2,3,17,4.40,20,277953,-,-,-
"대구광역시",2,1,-,-,-,-,1,-,-,2,0.25,2,500,-,-,1,1,-,-,-,-,-,-,-,1,0.50,46,15377,-,-,-,1,1,-,-,-,-,-,-,-,1,0.10,6,15261,-,-,-,2,2,-,-,-,-,-,-,-,2,0.08,9,13677,-,-,-,13,7,1,-,-,-,-,-,5,13,0.62,11,77025,1,-,1,11,5,1,4,-,-,-,-,1,11,0.56,10,95279,-,-,-,6,3,1,-,-,-,-,1,1,6,0.30,15,58397,-,-,-,13,3,1,2,-,-,-,-,7,13,0.98,102,144918,-,-,-,5,3,1,-,-,-,-,1,-,5,0.61,12,144850,-,-,-,6,5,-,1,-,-,-,-,-,6,3.27,138,107438,-,-,-,16,15,-,-,-,-,-,-,1,16,0.50,-,25962,-,-,-,8,4,-,-,-,-,-,1,3,8,0.53,-,26375,-,-,-,24,16,1,1,1,-,-,5,24,136.72,-,8055316,-,-,-,8,4,-,2,1,-,-,-,1,8,2.42,33,140410,-,-,-
"인천광역시",10,2,2,1,1,-,-,-,4,10,47.57,-,147545,-,-,3,1,1,1,-,-,-,-,-,3,0.40,-,9055,-,-,-,1,1,-,-,-,-,-,-,-,1,1.30,-,11860,-,-,-,4,-,1,-,1,-,-,-,2,4,0.24,28,12553,-,-,-,20,12,2,-,2,-,1,1,2,20,3.12,-,161734,2,2,-,43,9,12,6,3,1,1,-,11,43,5.85,2,249264,-,-,-,23,11,4,2,1,-,-,-,5,23,10.58,-,581218,-,-,-,21,5,3,3,1,-,-,-,9,21,5.10,-,213395,-,-,-,16,1,3,6,1,1,-,-,4,16,1.13,34,53798,1,-,1,24,2,2,3,1,-,-,2,14,24,2.91,-,85530,-,-,-,14,5,2,2,5,-,-,-,-,14,12.12,-,579254,-,-,-,8,4,2,2,-,-,-,-,-,8,1.40,-,65270,-,-,-,8,1,-,-,1,-,-,6,8,1.11,-,53084,-,-,-,11,-,1,2,1,-,-,1,6,11,24.01,-,1158052,-,-,-
"광주광역시",1,1,-,-,-,-,-,-,-,1,0.10,1,244,-,-,3,1,1,-,-,-,-,-,1,3,1.10,109,23177,-,-,-,2,1,1,-,-,-,-,-,-,2,0.46,4,20211,-,-,-,7,2,3,1,-,-,-,-,1,7,1.39,103,64202,-,-,-,7,-,3,1,1,-,-,-,2,7,0.51,-,25617,-,-,-,5,1,1,-,-,-,-,-,3,5,0.37,36,19004,-,-,-,1,-,1,-,-,-,-,-,-,1,0.03,-,3231,-,-,-,2,-,2,-,-,-,-,-,-,2,0.40,-,15845,-,-,-,3,-,2,-,-,-,-,-,1,3,0.50,14,17704,-,-,-,2,-,-,-,-,-,-,-,2,2,0.06,-,2512,-,-,-,2,1,-,1,-,-,-,-,-,2,0.19,-,8916,-,-,-,1,-,-,-,-,-,-,-,1,1,0.04,-,1861,-,-,-,4,1,-,-,-,-,-,3,4,0.24,-,12371,-,-,-,9,6,-,2,-,-,-,-,1,9,4.54,-,378313,-,-,-
"대전광역시",1,1,-,-,-,-,-,-,-,1,0.10,-,944,-,-,4,1,1,-,1,1,-,-,-,4,0.45,-,12341,1,-,1,3,-,-,-,-,-,1,-,2,3,0.21,-,19633,-,-,-,6,3,1,1,-,-,-,-,1,6,0.95,117,44821,-,-,-,7,2,2,-,-,-,1,-,2,7,2.43,160,88206,1,1,-,11,5,-,1,-,-,-,-,5,11,4.50,5,194772,2,-,2,3,1,-,2,-,-,-,-,-,3,5.01,-,354605,-,-,-,14,3,2,2,-,1,-,-,6,14,3.93,196,169849,-,-,-,5,-,1,-,-,1,-,-,3,5,0.21,1,16467,1,-,1,9,-,1,1,-,1,-,1,5,9,2.13,-,74550,-,-,-,3,-,1,-,-,1,-,1,-,3,0.33,-,15476,-,-,-,2,2,-,-,-,-,-,-,-,2,0.52,-,24087,-,-,-,2,-,-,-,-,-,-,2,2,0.02,-,1105,-,-,-,5,1,-,-,1,-,1,-,2,5,1.00,3,48991,-,-,-
