"월별","기간별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"합계","금년",282,277,197,296,492,623,391,692,496,653,620,349,756,596
"합계","10년평균",478,427,387,389,384,395,394,421,432,440,474,481,537,567
"1월","금년",24,33,6,7,49,16,36,21,29,106,29,44,88,38
"1월","10년평균",34,36,34,34,36,32,30,26,29,33,33,34,43,46
"2월","금년",30,40,9,30,54,40,62,56,130,61,42,82,143,114
"2월","10년평균",62,63,53,54,46,47,49,42,48,51,52,57,70,78
"3월","금년",22,94,23,113,101,252,116,192,83,141,171,44,82,229
"3월","10년평균",120,106,89,95,93,105,100,112,112,114,129,124,130,141
"4월","금년",51,80,45,69,166,49,86,122,88,152,184,94,180,108
"4월","10년평균",145,121,107,101,103,90,94,95,96,91,104,106,119,123
"5월","금년",45,6,54,30,55,76,21,104,3,99,26,20,115,33
"5월","10년평균",32,24,28,30,35,39,38,48,45,49,47,49,55,55
"6월","금년",21,9,35,6,13,88,28,86,45,15,38,3,26,11
"6월","10년평균",16,14,15,15,13,21,24,30,35,35,36,36,35,35
"7월","금년",0,0,-,-,11,4,1,3,15,15,-,7,3,-
"7월","10년평균",0,0,-,-,1,2,2,2,3,5,5,6,6,6
"8월","금년",0,0,3,7,-,8,14,0,46,4,1,6,-,1
"8월","10년평균",0,1,1,2,1,2,3,3,8,8,8,9,9,8
"9월","금년",0,0,1,3,4,33,5,4,3,2,2,1,11,2
"9월","10년평균",6,4,4,4,4,7,7,8,7,6,6,6,7,7
"10월","금년",5,6,14,11,16,41,1,4,9,9,35,-,24,13
"10월","10년평균",13,13,14,14,13,17,14,15,13,12,15,14,15,15
"11월","금년",44,5,5,9,19,8,9,50,13,19,46,24,47,25
"11월","10년평균",26,24,22,21,22,20,19,22,18,18,18,20,24,26
"12월","금년",40,4,2,11,4,8,12,50,32,30,46,24,37,22
"12월","10년평균",24,21,20,19,17,13,14,18,18,19,20,22,25,27
