연번,시군구,명칭,관장,전화번호,시설 소재지,시설설치일,운영주체 / 법인(단체)명,설치주체,대표자
1,천안시,천안시노인종합복지관,김호영,041-571-0618,천안시 서북구 미라11길 16,1995-01-17,천주교말씀의성모영보수녀회유지재단,종교법인,박미숙
2,천안시,아우내은빛복지관,이수경,041-556-6606,천안시 동남구 병천면 병천2로 51,1999-10-01,대한불교조계종사회복지재단,종교법인,이규정
3,공주시,공주시노인종합복지관,전금숙,041-852-8861,공주시 당간지주길 7(반죽동),2015-03-19,대한불교조계종 마곡,종교법인,심재욱
4,보령시,보령댐노인복지관,엄기욱,041-931-8491,보령시 미산면 판미로 1471,2011-06-17,수자원공사,사회복지법인,김기찬
5,보령시,보령노인종합복지관,이승화,041-931-7677,보령시 대천로 113,2006-06-21,사회복지법인 수덕,사회복지법인,이동명
6,보령시,명천실버복지관,이미화,041-931-8490,보령시 흥곡천변로85,2021-11-01,사회복지법인 삼동회,사회복지법인,류화영
7,아산시,아산시노인종합복지관,이세융,041-544-1401,아산시 남산로 10 (온천동),2003-05-20,순천향대학교(학교법인 동은학원),학교법인,김승우
8,아산시,아산시동부노인복지관,이창우,041-533-7722,아산시 배방읍 순천향로 1060,2015-03-10,사회복지법인 대한예수교장로회총회,사회복지법인,민경설
9,계룡시,계룡시노인복지관,권주현,042-841-2103,계룡시 금암로 182 (금암동),2008-03-31,학교법인 건양학원,학교법인,구본정
10,당진시,당진시 노인복지관,최태선,041-360-3100,당진시 시청1로 38,2012-10-02,당진시복지재단,재단법인,왕현정
11,당진시,당진시 남부노인복지관,배희선,041-363-5330,당진시 합덕읍 예덕로 411,2007-05-11,사회복지법인 솔뫼베네딕도의 집,사회복지법인,전정숙
12,부여군,부여군노인종합복지관,정정순,041-834-7781,부여군규암면 아름1로 48,2011-12-01,사회복지법인,충청남도사회서비스원,조경훈
13,서천군,서천군노인복지관,박종석,041-950-1201,서천군 종천면 충서로302번길 88-26,2008-09-19,재단법인 대전교구 천주교회 유지재단,재단법인,김종수
14,청양군,청양군노인종합복지관,강미희,041-943-8805,청양군 청양읍 칠갑산로2길4,2014-04-02,사회복지법인 킹스빌리지,사회복지법인,최성옥
15,홍성군,홍성군노인종합복지관,육통(한재선),041-631-0960,홍성군 홍성읍 내포로146번길 30-11,1997-09-10,사회복지법인 수덕,사회복지법인,이동명
16,예산군,예산군노인종합복지관,정욱(박정욱),041-330-2901,예산군 벚꽃로 214-11,2006-03-06,사회복지법인 수덕,사회복지법인,이동명
17,태안군,태안노인복지관,박준경,041-674-0215,태안군 태안읍 후곡로 79,2006-08-14,재단법인 구세군유지재단,재단법인,장만희
18,태안군,백화노인복지관,박상욱,041-675-9422,태안군 태안읍 백화로 13,2018-03-09,사회복지법인 한국장로교복지재단,사회복지법인,민경설
19,태안군,안면노인복지관,태민(심옥화),041-675-9727,태안군 안면읍 승언로 16,2020-01-29,사회복지법인 수덕,사회복지법인,이동명
